Team,League,Wins
Granada CF,Spain LIGA BBVA,52
RC Celta de Vigo,Spain LIGA BBVA,54
Real Sporting de Gijón,Spain LIGA BBVA,54
FC Augsburg,Germany 1. Bundesliga,55
Real Betis Balompié,Spain LIGA BBVA,56
Torino,Italy Serie A,57
Southampton,England Premier League,60
1. FC Köln,Germany 1. Bundesliga,60
Swansea City,England Premier League,62
RC Deportivo de La Coruña,Spain LIGA BBVA,62
SC Freiburg,Germany 1. Bundesliga,62
Hertha BSC Berlin,Germany 1. Bundesliga,65
Rayo Vallecano,Spain LIGA BBVA,66
RCD Mallorca,Spain LIGA BBVA,67
Catania,Italy Serie A,67
CA Osasuna,Spain LIGA BBVA,67
Bologna,Italy Serie A,68
Levante UD,Spain LIGA BBVA,69
Fulham,England Premier League,71
Eintracht Frankfurt,Germany 1. Bundesliga,72
Parma,Italy Serie A,74
West Bromwich Albion,England Premier League,75
Cagliari,Italy Serie A,76
Sunderland,England Premier League,78
Atalanta,Italy Serie A,79
West Ham United,England Premier League,80
Newcastle United,England Premier League,82
Real Sociedad,Spain LIGA BBVA,84
Sampdoria,Italy Serie A,84
Aston Villa,England Premier League,86
TSG 1899 Hoffenheim,Germany 1. Bundesliga,87
Chievo Verona,Italy Serie A,87
1. FSV Mainz 05,Germany 1. Bundesliga,88
SV Werder Bremen,Germany 1. Bundesliga,89
Hannover 96,Germany 1. Bundesliga,91
Palermo,Italy Serie A,91
Hamburger SV,Germany 1. Bundesliga,93
Getafe CF,Spain LIGA BBVA,94
RCD Espanyol,Spain LIGA BBVA,97
Stoke City,England Premier League,98
VfB Stuttgart,Germany 1. Bundesliga,99
Málaga CF,Spain LIGA BBVA,106
Genoa,Italy Serie A,106
Borussia Mönchengladbach,Germany 1. Bundesliga,109
Villarreal CF,Spain LIGA BBVA,112
Udinese,Italy Serie A,115
VfL Wolfsburg,Germany 1. Bundesliga,117
Everton,England Premier League,121
Athletic Club de Bilbao,Spain LIGA BBVA,122
FC Schalke 04,Germany 1. Bundesliga,127
Lazio,Italy Serie A,131
Fiorentina,Italy Serie A,132
Bayer 04 Leverkusen,Germany 1. Bundesliga,137
Sevilla FC,Spain LIGA BBVA,139
Valencia CF,Spain LIGA BBVA,142
Liverpool,England Premier League,150
Tottenham Hotspur,England Premier League,151
Napoli,Italy Serie A,153
Milan,Italy Serie A,154
Inter,Italy Serie A,154
Borussia Dortmund,Germany 1. Bundesliga,157
Roma,Italy Serie A,162
Atlético Madrid,Spain LIGA BBVA,167
Arsenal,England Premier League,170
Manchester City,England Premier League,175
Chelsea,England Premier League,176
Juventus,Italy Serie A,189
Manchester United,England Premier League,192
FC Bayern Munich,Germany 1. Bundesliga,193
Real Madrid CF,Spain LIGA BBVA,228
FC Barcelona,Spain LIGA BBVA,234
